DISCIPLINA;TEMA_ESPECIFICO;OCORRENCIAS
Direito Civil;Prescrição e Decadência;6
Direito Penal;Crimes contra Finanças Públicas;6
Tecnologia da Informação / Análise de Dados;Mineração de Dados;6
Administração Financeira e Orçamentária;Orçamento Público;6
Auditoria;Procedimentos Analíticos;5
Direito Empresarial;Reorganização Societária;5
Contabilidade Geral;Ativo Imobilizado;5
Contabilidade Geral;Provisões;5
Contabilidade Geral;Demonstração dos Fluxos de Caixa;5
Direito Tributário;Impostos em Espécie (não ICMS);5
Direito Tributário;Lançamento Tributário;5
Direito Civil;Regime de Bens;5
Direito Civil;CDC;5
Direito Civil;Responsabilidade Civil;5
Matemática Financeira;Taxas de Juros (Nominal, Real, Fisher);5
Direito Constitucional;Competência Legislativa;5
Gerenciamento de Projetos / BPM;PMBOK;5
Tecnologia da Informação / Análise de Dados;Segurança da Informação / Criptografia;5
Direito Administrativo;Poder de Polícia;4
Contabilidade de Custos;Margem de Contribuição e Segurança;4
Contabilidade de Custos;Custeio por Absorção vs Variável;4
Estatística;Estatística Descritiva (Média, Mediana, Moda, Variância);4
Matemática Financeira;Sistema de Amortização (SAC, Price);4
Língua Portuguesa;Gramática (Concordância, Regência, Pontuação);4
Direito Constitucional;Normas Constitucionais (Eficácia);4
Direito Constitucional;Controle de Constitucionalidade;4
Direito Penal;Falsidade Ideológica;4
Gerenciamento de Projetos / BPM;BPM - Modelagem de Processos;4
Tecnologia da Informação / Análise de Dados;SQL;4
Auditoria;NBC TA 705 - Modificações no Relatório;3
Auditoria;Auditoria Interna;3
Auditoria;Auditoria do Ativo;3
Auditoria;Relatório / Parecer de Auditoria;3
Direito Empresarial;Acionista e S/A;3
Direito Empresarial;Direito Empresarial - Outros;3
Contabilidade Geral;Debêntures / Instrumentos Financeiros;3
Contabilidade Geral;Estoques;3
Contabilidade Geral;ICMS na Contabilidade;3
Contabilidade de Custos;Ponto de Equilíbrio;3
Estatística;Teste de Hipóteses;3
Estatística;Intervalo de Confiança;3
Direito Civil;Direito Civil - Outros;3
Matemática Financeira;Valor Presente e Futuro;3
Língua Portuguesa;Reescrita de Frases;3
Direito Constitucional;Remédios Constitucionais;3
Direito Penal;Crimes Funcionais;3
Tecnologia da Informação / Análise de Dados;Machine Learning;3
Tecnologia da Informação / Análise de Dados;TI - Outros;3
Administração Financeira e Orçamentária;AFO - Outros;3
Administração Financeira e Orçamentária;Receita Pública;3
Conhecimentos Regionais;Geografia / Cultura do Estado;3
Auditoria;Risco de Auditoria;2
Auditoria;Eventos Subsequentes;2
Direito Empresarial;Estabelecimento Empresarial;2
Contabilidade Geral;Valor Presente / Ajuste a Valor Presente;2
Contabilidade Geral;Índices Financeiros;2
Direito Administrativo;Delegação e Competência;2
Direito Administrativo;LRF e Sanções;2
Direito Administrativo;Intervenção na Propriedade;2
Direito Administrativo;Bens Públicos;2
Direito Administrativo;Contratos Administrativos;2
Contabilidade de Custos;Grau de Alavancagem Operacional;2
Contabilidade de Custos;Rateio de Custos Indiretos;2
Contabilidade de Custos;Custo Padrão vs Estimado;2
Contabilidade de Custos;ABC - Activity Based Costing;2
Contabilidade de Custos;Coprodutos e Subprodutos;2
Estatística;Estatística - Outros;2
Estatística;Distribuição de Poisson;2
Estatística;Distribuição de Frequências;2
Estatística;Distribuição Binomial;2
Direito Tributário;Responsabilidade Tributária;2
Direito Tributário;Taxas;2
Direito Tributário;IBS / Reforma Tributária;2
Direito Civil;Desconsideração da Personalidade Jurídica;2
Direito Civil;LINDB;2
Matemática Financeira;Matemática Financeira - Outros;2
Língua Portuguesa;Interpretação de Texto;2
Língua Portuguesa;Discurso Direto e Indireto;2
Língua Portuguesa;Fraseologia / Expressões Idiomáticas;2
Direito Constitucional;Elegibilidade e Condições;2
Direito Penal;Direito Penal - Outros;2
Economia / Finanças;Demanda por Moeda / Taxa de Juros;2
Economia / Finanças;Equilíbrio de Mercado;2
Tecnologia da Informação / Análise de Dados;Dados Abertos;2
Tecnologia da Informação / Análise de Dados;Power BI;2
Tecnologia da Informação / Análise de Dados;Data Warehouse / OLAP;2
Contabilidade Avançada;Contabilidade Avançada - Outros;2
Administração Financeira e Orçamentária;Execução Orçamentária;2
Auditoria;Auditoria do Passivo e PL;1
Auditoria;Planejamento de Auditoria;1
Auditoria;Contabilidade Criativa / Fraude;1
Auditoria;Estatísticas de Finanças Públicas;1
Auditoria;Auditoria de Grupo/Consolidado;1
Direito Empresarial;EIRELI / EI;1
Direito Empresarial;Falência e Recuperação Judicial;1
Contabilidade Geral;DVA;1
Contabilidade Geral;Combinação de Negócios / Goodwill;1
Contabilidade Geral;Ativos Biológicos;1
Direito Administrativo;LAIA / Transparência;1
Direito Administrativo;Processo Administrativo Disciplinar;1
Contabilidade de Custos;Taxa de Aplicação de Custos Indiretos;1
Estatística;Teste de Independência / Tabela de Contingência;1
Direito Tributário;Repartição de Receitas;1
Matemática Financeira;Desconto (Comercial, Racional, Simples, Composto);1
Língua Portuguesa;Linguagem Figurada / Metáfora;1
Língua Portuguesa;Coesão e Coerência;1
Direito Constitucional;Regime Previdenciário;1
Direito Constitucional;Direitos e Garantias Fundamentais;1
Direito Constitucional;Partidos Políticos;1
Direito Constitucional;Processo Legislativo;1
Direito Penal;Descaminho e Contrabando;1
Direito Penal;Princípio da Insignificância;1
Direito Penal;Sonegação Previdenciária;1
Direito Penal;Inserção de Dados Falsos;1
Direito Penal;Crimes contra Relações de Consumo;1
Tecnologia da Informação / Análise de Dados;Balanced Scorecard;1
Tecnologia da Informação / Análise de Dados;Integração de Dados / ETL;1
Tecnologia da Informação / Análise de Dados;Big Data;1
Tecnologia da Informação / Análise de Dados;LGPD;1
Raciocínio Lógico;Validade de Argumentos;1
Raciocínio Lógico;Raciocínio Lógico - Outros;1
Raciocínio Lógico;Problemas de Tempo e Horas;1
Raciocínio Lógico;Desigualdades e Intervalos;1
Contabilidade Avançada;Reorganização Societária;1
Contabilidade Avançada;Instrumentos Financeiros / Valor Justo;1
Contabilidade Avançada;Ativo Não Circulante Mantido para Venda;1
Contabilidade Avançada;Combinação de Negócios e Goodwill;1
Contabilidade Avançada;Subvenção Governamental;1
Contabilidade Avançada;Mudança de Política Contábil e Estimativa;1
